StrikePrice,Time,ImpliedVolatility
75,0.3,0.395375
76,0.3,0.43109
77,0.3,0.463811
78,0.3,0.494207
79,0.3,0.522722
80,0.3,0.549668
81,0.3,0.575273
82,0.3,0.599713
83,0.3,0.623126
84,0.3,0.645622
85,0.3,0.667292
75,0.4,0.332511
76,0.4,0.364259
77,0.4,0.393198
78,0.4,0.419989
79,0.4,0.445061
80,0.4,0.468709
81,0.4,0.491148
82,0.4,0.512542
83,0.4,0.533017
84,0.4,0.552675
85,0.4,0.5716
75,0.5,0.288282
76,0.5,0.317489
77,0.5,0.343957
78,0.5,0.368368
79,0.5,0.391151
80,0.5,0.412596
81,0.5,0.432915
82,0.5,0.452263
83,0.5,0.470762
84,0.5,0.488508
85,0.5,0.50558
75,0.6,0.254551
76,0.6,0.28204
77,0.6,0.306784
78,0.6,0.329508
79,0.6,0.350654
80,0.6,0.370515
81,0.6,0.389301
82,0.6,0.407166
83,0.6,0.42423
84,0.6,0.440585
85,0.6,0.456307
75,0.7,0.227395
76,0.7,0.253707
77,0.7,0.277209
78,0.7,0.298687
79,0.7,0.318608
80,0.7,0.337274
81,0.7,0.354898
82,0.7,0.371635
83,0.7,0.387603
84,0.7,0.402893
85,0.7,0.417581
75,0.8,0.204646
76,0.8,0.230178
77,0.8,0.252775
78,0.8,0.273313
79,0.8,0.292291
80,0.8,0.310029
81,0.8,0.326743
82,0.8,0.342592
83,0.8,0.357694
84,0.8,0.372142
85,0.8,0.386008
75,0.9,0.184984
76,0.9,0.210056
77,0.9,0.232005
78,0.9,0.251828
79,0.9,0.27007
80,0.9,0.287071
81,0.9,0.303056
82,0.9,0.31819
83,0.9,0.332592
84,0.9,0.346355
85,0.9,0.359554
75,1,0.167536
76,1,0.192436
77,1,0.213946
78,1,0.233229
79,1,0.250893
80,1,0.267302
81,1,0.282696
82,1,0.297243
83,1,0.311068
84,1,0.324266
85,1,0.33691
75,1.1,0.151683
76,1.1,0.176695
77,1.1,0.197948
78,1.1,0.216837
79,1.1,0.234048
80,1.1,0.24998
81,1.1,0.264889
82,1.1,0.278951
83,1.1,0.292294
84,1.1,0.305018
85,1.1,0.317196
75,1.2,0.13694
76,1.2,0.162383
77,1.2,0.183549
78,1.2,0.20217
79,1.2,0.219034
80,1.2,0.234583
81,1.2,0.249092
82,1.2,0.262749
83,1.2,0.275687
84,1.2,0.288009
85,1.2,0.29979
75,1.3,0.122882
76,1.3,0.149153
77,1.3,0.170408
78,1.3,0.188875
79,1.3,0.205484
80,1.3,0.220728
81,1.3,0.234909
82,1.3,0.248227
83,1.3,0.260823
84,1.3,0.272801
85,1.3,0.284242
75,1.4,0.10906
76,1.4,0.136726
77,1.4,0.158261
78,1.4,0.176686
79,1.4,0.193121
80,1.4,0.20813
81,1.4,0.222044
82,1.4,0.235079
83,1.4,0.247384
84,1.4,0.259069
85,1.4,0.270216
75,1.5,0.094849
76,1.5,0.124853
77,1.5,0.146896
78,1.5,0.165393
79,1.5,0.181734
80,1.5,0.19657
81,1.5,0.21027
82,1.5,0.223069
83,1.5,0.235128
84,1.5,0.24656
85,1.5,0.257453
75,1.6,0.0789587
76,1.6,0.113285
77,1.6,0.136135
78,1.6,0.15483
79,1.6,0.171153
80,1.6,0.185873
81,1.6,0.199408
82,1.6,0.212015
83,1.6,0.223865
84,1.6,0.235081
85,1.6,0.245753
75,1.7,0.0552458
76,1.7,0.101731
77,1.7,0.125819
78,1.7,0.144858
79,1.7,0.161243
80,1.7,0.175903
81,1.7,0.189317
82,1.7,0.201769
83,1.7,0.213445
84,1.7,0.224476
85,1.7,0.234957
75,1.8,0.01
76,1.8,0.0897646
77,1.8,0.115794
78,1.8,0.135356
79,1.8,0.151889
80,1.8,0.166546
81,1.8,0.179881
82,1.8,0.192213
83,1.8,0.203746
84,1.8,0.21462
85,1.8,0.224936
75,1.9,0.01
76,1.9,0.0765424
77,1.9,0.105891
78,1.9,0.126215
79,1.9,0.142996
80,1.9,0.157707
81,1.9,0.171005
82,1.9,0.183251
83,1.9,0.19467
84,1.9,0.205412
85,1.9,0.215585
